city,state,10th,25th,50th,75th,90th,date,region
Idaho Falls,ID,45809.0,52543.0,59941.0,68462.0,76220.0,"June 26, 2023",West
Meridian,ID,46878.0,53770.0,61340.0,70060.0,77999.0,"June 26, 2023",West
Nampa,ID,46424.0,53250.0,60747.0,69382.0,77245.0,"June 26, 2023",West
Pocatello,ID,43790.0,50229.0,57300.0,65446.0,72862.0,"June 26, 2023",West
Twin Falls,ID,43740.0,50171.0,57234.0,65370.0,72778.0,"June 26, 2023",West
Arlington Heights,IL,51948.0,59586.0,67975.0,77638.0,86436.0,"June 26, 2023",Midwest
Aurora,IL,52709.0,60458.0,68970.0,78774.0,87701.0,"June 26, 2023",Midwest
Bloomington,IL,48139.0,55217.0,62991.0,71945.0,80098.0,"June 26, 2023",Midwest
Bolingbrook,IL,52003.0,59649.0,68047.0,77720.0,86527.0,"June 26, 2023",Midwest
Champaign,IL,47792.0,54819.0,62536.0,71426.0,79520.0,"June 26, 2023",Midwest
Chicago,IL,53158.0,60974.0,69558.0,79446.0,88449.0,"June 26, 2023",Midwest
Cicero,IL,53158.0,60974.0,69558.0,79446.0,88449.0,"June 26, 2023",Midwest
Des Plaines,IL,53017.0,60812.0,69373.0,79235.0,88214.0,"June 26, 2023",Midwest
Elgin,IL,52298.0,59987.0,68432.0,78161.0,87018.0,"June 26, 2023",Midwest
Evanston,IL,53138.0,60951.0,69532.0,79416.0,88415.0,"June 26, 2023",Midwest
Hoffman Estates,IL,52699.0,60447.0,68957.0,78760.0,87685.0,"June 26, 2023",Midwest
Joliet,IL,51809.0,59426.0,67793.0,77430.0,86204.0,"June 26, 2023",Midwest
Moline,IL,46926.0,53825.0,61403.0,70132.0,78080.0,"June 26, 2023",Midwest
Mount Prospect,IL,52977.0,60766.0,69321.0,79175.0,88147.0,"June 26, 2023",Midwest
Naperville,IL,52182.0,59854.0,68281.0,77987.0,86825.0,"June 26, 2023",Midwest
Normal,IL,48273.0,55371.0,63166.0,72146.0,80321.0,"June 26, 2023",Midwest
Oak Lawn,IL,53098.0,60904.0,69479.0,79356.0,88348.0,"June 26, 2023",Midwest
Oak Park,IL,53158.0,60974.0,69558.0,79446.0,88449.0,"June 26, 2023",Midwest
Orland Park,IL,51630.0,59221.0,67559.0,77163.0,85907.0,"June 26, 2023",Midwest
Palatine,IL,52008.0,59654.0,68053.0,77727.0,86535.0,"June 26, 2023",Midwest
Peoria,IL,48673.0,55829.0,63689.0,72743.0,80987.0,"June 26, 2023",Midwest
Rock Island,IL,47237.0,54182.0,61810.0,70597.0,78597.0,"June 26, 2023",Midwest
Rockford,IL,49626.0,56922.0,64936.0,74167.0,82571.0,"June 26, 2023",Midwest
Schaumburg,IL,52613.0,60348.0,68845.0,78631.0,87542.0,"June 26, 2023",Midwest
Skokie,IL,53138.0,60951.0,69532.0,79416.0,88415.0,"June 26, 2023",Midwest
Springfield,IL,47686.0,54697.0,62397.0,71267.0,79343.0,"June 26, 2023",Midwest
Tinley Park,IL,51517.0,59092.0,67411.0,76994.0,85719.0,"June 26, 2023",Midwest
Waukegan,IL,50354.0,57757.0,65889.0,75255.0,83783.0,"June 26, 2023",Midwest
Wheaton,IL,52280.0,59966.0,68409.0,78134.0,86988.0,"June 26, 2023",Midwest
Anderson,IN,46663.0,53523.0,61059.0,69739.0,77641.0,"June 26, 2023",Midwest
Bloomington,IN,46418.0,53242.0,60738.0,69373.0,77234.0,"June 26, 2023",Midwest
Carmel,IN,48971.0,56170.0,64079.0,73188.0,81481.0,"June 26, 2023",Midwest
Elkhart,IN,48043.0,55107.0,62865.0,71802.0,79939.0,"June 26, 2023",Midwest
Evansville,IN,47629.0,54631.0,62323.0,71182.0,79249.0,"June 26, 2023",Midwest
Fishers,IN,48148.0,55227.0,63002.0,71958.0,80112.0,"June 26, 2023",Midwest
Fort Wayne,IN,47011.0,53923.0,61514.0,70259.0,78221.0,"June 26, 2023",Midwest
Gary,IN,50368.0,57774.0,65908.0,75277.0,83807.0,"June 26, 2023",Midwest
Greenwood,IN,49011.0,56217.0,64131.0,73248.0,81548.0,"June 26, 2023",Midwest
Hammond,IN,50368.0,57774.0,65908.0,75277.0,83807.0,"June 26, 2023",Midwest
Indianapolis,IN,49031.0,56240.0,64158.0,73278.0,81582.0,"June 26, 2023",Midwest
Lafayette,IN,48729.0,55893.0,63762.0,72826.0,81079.0,"June 26, 2023",Midwest
Mishawaka,IN,47514.0,54500.0,62173.0,71011.0,79058.0,"June 26, 2023",Midwest
Muncie,IN,46481.0,53315.0,60821.0,69467.0,77339.0,"June 26, 2023",Midwest
South Bend,IN,47514.0,54500.0,62173.0,71011.0,79058.0,"June 26, 2023",Midwest
Terre Haute,IN,46265.0,53067.0,60538.0,69144.0,76979.0,"June 26, 2023",Midwest
Vincennes,IN,45676.0,52391.0,59767.0,68264.0,76000.0,"June 26, 2023",Midwest
Hutchinson,KS,47015.0,53928.0,61520.0,70266.0,78228.0,"June 26, 2023",Midwest
Kansas City,KS,49409.0,56673.0,64652.0,73843.0,82211.0,"June 26, 2023",Midwest
Lawrence,KS,47599.0,54598.0,62284.0,71139.0,79200.0,"June 26, 2023",Midwest
Lenexa,KS,49263.0,56506.0,64461.0,73625.0,81968.0,"June 26, 2023",Midwest
Manhattan,KS,46103.0,52882.0,60327.0,68903.0,76711.0,"June 26, 2023",Midwest
Olathe,KS,49129.0,56352.0,64286.0,73424.0,81745.0,"June 26, 2023",Midwest
Overland Park,KS,49263.0,56506.0,64461.0,73625.0,81968.0,"June 26, 2023",Midwest
Salina,KS,47015.0,53928.0,61520.0,70266.0,78228.0,"June 26, 2023",Midwest
Shawnee,KS,49263.0,56506.0,64461.0,73625.0,81968.0,"June 26, 2023",Midwest
Topeka,KS,46607.0,53460.0,60986.0,69656.0,77549.0,"June 26, 2023",Midwest
Wichita,KS,47519.0,54506.0,62180.0,71019.0,79067.0,"June 26, 2023",Midwest
Bowling Green,KY,45666.0,52380.0,59754.0,68249.0,75983.0,"June 26, 2023",Southeast
Covington,KY,49278.0,56523.0,64481.0,73647.0,81993.0,"June 26, 2023",Southeast
Frankfort,KY,46068.0,52841.0,60280.0,68850.0,76652.0,"June 26, 2023",Southeast
Hopkinsville,KY,45352.0,52020.0,59344.0,67780.0,75461.0,"June 26, 2023",Southeast
