city,state,10th,25th,50th,75th,90th,date
Springfield,IL,47686,54697,62397,71267,79343,"June 26, 2023"
Tinley Park,IL,51517,59092,67411,76994,85719,"June 26, 2023"
Waukegan,IL,50354,57757,65889,75255,83783,"June 26, 2023"
Wheaton,IL,52280,59966,68409,78134,86988,"June 26, 2023"
Anderson,IN,46663,53523,61059,69739,77641,"June 26, 2023"
Bloomington,IN,46418,53242,60738,69373,77234,"June 26, 2023"
Carmel,IN,48971,56170,64079,73188,81481,"June 26, 2023"
Elkhart,IN,48043,55107,62865,71802,79939,"June 26, 2023"
Evansville,IN,47629,54631,62323,71182,79249,"June 26, 2023"
Fishers,IN,48148,55227,63002,71958,80112,"June 26, 2023"
Fort Wayne,IN,47011,53923,61514,70259,78221,"June 26, 2023"
Gary,IN,50368,57774,65908,75277,83807,"June 26, 2023"
Greenwood,IN,49011,56217,64131,73248,81548,"June 26, 2023"
Hammond,IN,50368,57774,65908,75277,83807,"June 26, 2023"
Indianapolis,IN,49031,56240,64158,73278,81582,"June 26, 2023"
Lafayette,IN,48729,55893,63762,72826,81079,"June 26, 2023"
Mishawaka,IN,47514,54500,62173,71011,79058,"June 26, 2023"
Muncie,IN,46481,53315,60821,69467,77339,"June 26, 2023"
South Bend,IN,47514,54500,62173,71011,79058,"June 26, 2023"
Terre Haute,IN,46265,53067,60538,69144,76979,"June 26, 2023"
Vincennes,IN,45676,52391,59767,68264,76000,"June 26, 2023"
Hutchinson,KS,47015,53928,61520,70266,78228,"June 26, 2023"
Kansas City,KS,49409,56673,64652,73843,82211,"June 26, 2023"
Lawrence,KS,47599,54598,62284,71139,79200,"June 26, 2023"
Lenexa,KS,49263,56506,64461,73625,81968,"June 26, 2023"
Manhattan,KS,46103,52882,60327,68903,76711,"June 26, 2023"
Olathe,KS,49129,56352,64286,73424,81745,"June 26, 2023"
Overland Park,KS,49263,56506,64461,73625,81968,"June 26, 2023"
Salina,KS,47015,53928,61520,70266,78228,"June 26, 2023"
Shawnee,KS,49263,56506,64461,73625,81968,"June 26, 2023"
Topeka,KS,46607,53460,60986,69656,77549,"June 26, 2023"
Wichita,KS,47519,54506,62180,71019,79067,"June 26, 2023"
Bowling Green,KY,45666,52380,59754,68249,75983,"June 26, 2023"
Covington,KY,49278,56523,64481,73647,81993,"June 26, 2023"
Frankfort,KY,46068,52841,60280,68850,76652,"June 26, 2023"
Hopkinsville,KY,45352,52020,59344,67780,75461,"June 26, 2023"
Lexington,KY,47252,54199,61830,70620,78622,"June 26, 2023"
Louisville,KY,47837,54870,62595,71493,79595,"June 26, 2023"
Owensboro,KY,47326,54284,61927,70730,78746,"June 26, 2023"
Richmond,KY,46790,53669,61225,69928,77853,"June 26, 2023"
,,,,,,,
Baton Rouge,LA,47358,54321,61969,70778,78798,"June 26, 2023"
Bossier City,LA,46330,53142,60623,69242,77088,"June 26, 2023"
Houma,LA,48932,56126,64028,73130,81417,"June 26, 2023"
Kenner,LA,49308,56558,64520,73692,82043,"June 26, 2023"
La Place,LA,48850,56032,63920,73007,81280,"June 26, 2023"
Lafayette,LA,45946,52701,60120,68667,76448,"June 26, 2023"
Lake Charles,LA,45664,52378,59752,68246,75979,"June 26, 2023"
Marrero,LA,49335,56588,64555,73732,82088,"June 26, 2023"
Metairie,LA,49335,56588,64555,73732,82088,"June 26, 2023"
Monroe,LA,45383,52055,59384,67826,75512,"June 26, 2023"
New Iberia,LA,45677,52393,59769,68265,76001,"June 26, 2023"
New Orleans,LA,49335,56588,64555,73732,82088,"June 26, 2023"
Shreveport,LA,46330,53142,60623,69242,77088,"June 26, 2023"
Arlington,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Attleboro,MA,53062,60863,69432,79302,88289,"June 26, 2023"
Barnstable,MA,53633,61519,70180,80156,89240,"June 26, 2023"
Boston,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Brockton,MA,55028,63118,72004,82240,91560,"June 26, 2023"
Brookline,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Cambridge,MA,56776,65124,74292,84854,94469,"June 26, 2023"
Chicopee,MA,52647,60387,68889,78682,87598,"June 26, 2023"
